"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202602","3호선","금호","58","4","3573","494","8551","2267","21603","3769","30299","7788","20332","5756","13626","6160","12141","6463","11787","7852","11297","9258","9833","9892","9775","12335","9915","14622","10586","19329","10122","25693","7517","18786","5176","13401","4012","11234","3181","10692","1342","5567","259","1406","0","0","0","0","0","0","20260303"
"202602","3호선","남부터미널(예술의전당)","50","15","2730","1050","7719","23364","22666","55692","37506","131792","34210","75177","32434","46082","37990","38907","39908","43837","44796","50762","45780","46611","52240","45658","63045","48672","108663","53789","119159","59748","58157","37516","39354","23275","34828","17390","33406","14160","7299","7965","651","2002","0","1","0","1","0","0","20260303"
"202602","3호선","녹번","58","2","7536","338","19607","2729","54399","6192","61688","13653","36137","8877","24474","8540","21442","9301","20972","11344","19764","13507","17056","15105","15610","19194","15946","24493","15416","31069","17128","51216","8933","41860","6318","26363","4983","23654","3477","20529","1309","11408","196","3043","0","0","0","0","0","0","20260303"
"202602","3호선","대청","47","0","3284","982","9790","5331","22784","12430","30721","22568","18312","11372","14512","8416","13722","7982","13873","9608","14549","10727","13585","11281","14264","13322","15863","14244","21296","19536","21909","26013","10051","20644","7554","14753","5945","12913","4361","12977","1607","6586","284","2121","0","0","0","0","0","0","20260303"
"202602","3호선","대치","9","0","2303","702","11178","7169","21705","17074","23636","26552","15501","23019","13494","14799","13689","14211","17104","19364","19381","23081","16698","18780","17470","19387","20014","20658","33415","29014","26829","28979","17154","20413","11659","12657","15322","12075","36245","9697","3562","5485","400","1564","0","2","0","0","0","0","20260303"
"202602","3호선","도곡","20","10","884","375","3991","3969","9711","10787","11910","18621","8152","14143","7225","7256","7559","6888","8295","6350","7705","7303","8041","6647","8721","6953","10378","7286","14939","9403","15568","11301","7931","8801","5647","5815","5336","5287","4084","4540","977","2567","156","1464","0","230","0","0","0","0","20260303"
"202602","3호선","독립문","172","3","4304","737","4977","5048","11930","11381","16603","17890","13769","15485","12344","15227","13285","11345","15376","12078","14311","13702","14345","12506","15281","12224","15648","11814","15302","12923","13633","15522","6698","12530","5130","8902","3785","7472","2840","6070","975","3860","135","1596","1","431","0","0","0","0","20260303"
"202602","3호선","동대입구","11","0","1126","1028","2453","8654","4010","13627","6875","41971","6855","28670","7281","22691","9140","19147","10482","19611","15397","21341","14874","16813","16230","13847","22038","14280","34215","17241","34777","18220","18135","8867","19665","5118","16774","4800","11491","3526","2900","2290","345","756","1","63","0","0","0","0","20260303"
"202602","3호선","매봉","8","0","1675","755","5930","9888","13746","20665","17714","63731","13388","28454","13107","15486","13161","14782","14449","12680","15242","12893","17247","12458","20015","12618","22888","13603","33215","17370","51831","20680","18436","14001","13438","8685","13885","7667","7864","7039","2355","3441","285","1129","0","33","0","0","0","0","20260303"
"202602","3호선","무악재","3","1","1530","143","4624","1238","12497","2301","16347","4030","9986","2950","7387","2897","6547","3560","6554","4209","5776","4564","5239","4907","4900","6323","4941","7598","4979","9715","5422","13727","2760","11493","2008","7394","1592","6519","1061","5476","392","3435","84","970","0","0","0","0","0","0","20260303"
